,Ids,Dice_1,Dice_2,Dice_3,Hausdorff95_1,Hausdorff95_2,Hausdorff95_3,Sensitivity_1,Sensitivity_2,Sensitivity_3,Specificity_1,Specificity_2,Specificity_3,Surface_dice_1,Surface_dice_2,Surface_dice_3,Precision_1,Precision_2,Precision_3,fold,exp,Unnamed: 0.1,Unnamed: 0
0,TCGA-12-1098,0.9416143635920908,0.5170147944518847,0.9538524862665632,94.83270197313472,28.62175802337503,1.0918300671385692,0.9891212428092668,0.9993641758507932,0.9482232224355543,0.9986881494698504,0.9962596872086982,0.9999229523261148,0.8212647210735828,0.0829837433819202,0.9590776253107922,0.8984618010773082,0.3487084675928371,0.9595489871321188,0,3d_susan_,,0.0
1,TCGA-06-0646,0.7698230138965458,0.4919997554065347,0.8860532161255258,5.07084740355797,19.03950521547609,2.5,0.7588164749091182,0.994151565074135,0.8239430429814538,0.9993972159399376,0.9986824462094298,0.9999783703443426,0.6045680298760329,0.1209365014293334,0.8692538554310956,0.7811535493827161,0.3268871374014788,0.95829073809037,0,3d_susan_,,0.0
2,TCGA-06-0192,0.9423911289980216,0.7605873738530967,0.7166132103198436,2.5,9.663938776435357,2.8298741283374933,0.9405145239467172,0.9296777964491854,0.5603629169247987,0.9994670523345386,0.997717821520896,0.9999904106116818,0.8545325142952906,0.3437535769034843,0.7201170466715037,0.944275237787344,0.6435399035705857,0.993691969664753,0,3d_susan_,,0.0
3,TCGA-02-0106,0.9466399866599968,0.8277991823769889,0.8031065412382411,2.209708691207961,13.240341408929002,3.90625,0.9913126991749248,0.971758044468996,0.6754369825206992,0.9984094808682982,0.9963519344929082,0.9999518863877236,0.8900834350317978,0.5079899252894878,0.8115954233431214,0.905819936973952,0.7209898048055741,0.9902886431076342,0,3d_susan_,,0.0
4,TCGA-06-0644,0.8841871725735014,0.3072080243290828,0.5949167397020158,67.83927878642004,16.980658511564194,2.6700362902247123,0.962809480143895,0.9984971098265896,0.4234560199625702,0.9993779870039378,0.9980184356419016,0.9999999491166264,0.7701422515179627,0.0885687581547941,0.5100459744965025,0.8174359588579642,0.181529666449484,0.9997054491899852,0,3d_susan_,,0.0
5,TCGA-06-0162,0.9376770286708754,0.8716652033947907,0.866070688139585,4.803905151158219,7.21888898292571,4.218819792113405,0.9260584376863448,0.9542250813747852,0.800594873052864,0.9991468101413624,0.9972218850192792,0.9995250359244456,0.8638038611338518,0.6010351053230569,0.8065460288525599,0.9495908641309236,0.8022539217376314,0.9432101441421914,0,3d_susan_,,0.0
6,TCGA-06-0185,0.9348717170183696,0.7718380960966376,0.8643636363636363,2.9646353064078554,15.197270519734786,2.0963137289060527,0.9780813214739518,0.9106573069559668,0.8691042047531993,0.9988907103151616,0.9978422612202928,0.999604204813808,0.8940668737695024,0.5625507501387272,0.93269788216832,0.8953184065135213,0.6697434292866082,0.8596745027124774,0,3d_susan_,,0.0
7,TCGA-06-0142,0.921700821039984,0.7751540226562359,0.8414537952794127,3.0,26.000375598248574,3.0,0.9776069586325478,0.9594775919134092,0.7360934182590233,0.9980378839749752,0.9968366003611084,0.9999304333726996,0.8430100772819069,0.387005043546463,0.8207063995860762,0.8718429787848174,0.6502379436816101,0.9820138790539584,0,3d_susan_,,0.0
8,TCGA-08-0390,0.6491651237451377,0.5627682533524091,0.6154789416591991,18.85349341566566,17.473387058605315,15.469462860130353,0.4979219053326906,0.6499383891564915,0.5403726708074534,0.9996665004382296,0.998592599901992,0.999689250910848,0.0780824607373183,0.1440856975683875,0.4078890215185654,0.932372099831662,0.496215522771007,0.7148334794040315,0,3d_susan_,,0.0
9,TCGA-06-5408,0.9389004486246588,0.7650091333468643,0.8717577568697032,2.6516504294495533,21.966327213487464,2.5,0.9712106697189494,0.9751293549499828,0.8659554730983302,0.9982070674813092,0.9962402805402106,0.9994130629679938,0.842685847048684,0.3053675626137662,0.8472334458744233,0.9086708028262463,0.6293888455972392,0.8776383208762281,0,3d_susan_,,0.0
10,TCGA-06-0137,0.946409982372618,0.7114598334740362,0.8850530482106537,3.0,38.554395420626165,3.0,0.9577627013891816,0.9885914067531512,0.8516716038933559,0.9985291397229916,0.9947211450964684,0.9995770276276468,0.8783616716610306,0.2658661369858306,0.8411604901746821,0.9353232465946968,0.555684844723709,0.9211580272342372,0,3d_susan_,,0.0
11,TCGA-02-0033,0.9508101963353308,0.7283566420456675,0.8098586337058693,3.90625,18.4418427089052,4.207160005573831,0.9375688718318956,0.9710086973907828,0.684645225879114,0.9993855548675872,0.9953550498388792,0.999967318888282,0.9117512586079912,0.3931634471221124,0.8134170176947638,0.9644308943089432,0.5827333813294936,0.991123188405797,0,3d_susan_,,0.0
12,TCGA-08-0359,0.9357778969255516,0.6775273883181019,0.7097163548581774,13.031371777008935,5.528556900878384,3.544706109996991,0.916141752445332,0.7111534795042898,0.5855513307984791,0.9997538227445514,0.9985327718494011,0.9998931615286802,0.6668213463303558,0.2643896026970308,0.600208032491568,0.9562742215688896,0.6469376693766937,0.9007102074919927,0,3d_susan_,,0.0
13,TCGA-08-0520,0.9564612602587286,0.8577505516477739,0.7140849782535965,2.03125,12.47610998318386,5.89808049416291,0.9657202900510814,0.8840829597517119,0.5633297263057879,0.999357935271258,0.9986612224534246,0.9999323737493936,0.7394972409988664,0.3252728550608534,0.3288133266561283,0.9473780898532383,0.8329413948882975,0.97501256224019,0,3d_susan_,,0.0
14,TCGA-14-1456,0.9382569715965364,0.8293102613876506,0.5904906913973286,4.492188096046448,4.9414069056510925,26.34194931112015,0.8909780399918414,0.8343756762605496,0.4191393201021812,0.9998300946719962,0.997456192212568,0.9999992358738288,0.7495336901103778,0.5647280840972675,0.4363890508525823,0.9908347054672536,0.8243059786849672,0.9988293139779912,0,3d_susan_,,0.0
15,TCGA-14-1825,0.8172430127901469,0.4412540446474698,0.1219316144190935,6.098795987733973,18.00816329647474,15.576926044634096,0.7003644630484989,0.4411460881857228,0.0653109889381996,0.9996263953193378,0.9950029364438716,0.9999562789075362,0.5510280725736076,0.2924961670055417,0.1791084066331222,0.9809456420105632,0.4413620539599652,0.91635687732342,0,3d_susan_,,0.0
16,TCGA-02-0054,0.9198306179573674,0.5519846916245523,0.8142574257425742,3.90625,15.57065549358793,4.207160005573831,0.9395435218220028,0.8511121198365865,0.7060439560439561,0.9985782184956692,0.99457126883847,0.9999181614946504,0.8548432004332033,0.3278736631795959,0.7826306284324687,0.9009279220170588,0.4084374092361312,0.961646398503274,0,3d_susan_,,0.0
17,TCGA-08-0356,0.923406558708106,0.7623438776701296,0.6503104649401787,93.54459398839212,22.062306346529702,99.59574171408195,0.9441036756906332,0.8355223880597015,0.5077450632612037,0.9994596131334792,0.9989684085452648,0.9998877866219458,0.6076954188025251,0.2607453102847106,0.3500182793160736,0.9035974398587509,0.7009516313680595,0.9041903558643926,0,3d_susan_,,0.0
18,TCGA-02-0047,0.941650695962786,0.6537103278576474,0.8574970249900833,5.2407843222651325,28.168369339562418,3.125,0.9498293763159804,0.98361330133699,0.758974809093303,0.9974377442784782,0.9899781811068616,0.9999144347849338,0.8428987641174206,0.2542198337377709,0.856941608594822,0.9336116612249996,0.4895243294888419,0.9854131054131056,0,3d_susan_,,0.0
19,TCGA-12-1601,0.8756942865495176,0.3692921960072595,0.463701821262177,8.338092822030946,22.5,30.635861386312957,0.8092936691381742,0.9361428045638572,0.845797280593325,0.9995538113462242,0.9942150759286148,0.9980202886468036,0.6983756899746122,0.2597192537611367,0.5057947938748741,0.9539648278546408,0.2300144691625972,0.3194071653635196,0,3d_susan_,,0.0
20,TCGA-06-0188,0.8911444801620503,0.2800760122789066,0.8243807403284164,2.8125,21.07000978879697,2.5,0.9944471744471745,0.9233734939759036,0.7349875930521091,0.9989109798746556,0.9978243851603806,0.9999782239400616,0.7341237543079243,0.142119644515512,0.8544003843309739,0.8072841870113292,0.165072800896011,0.9385297845373892,0,3d_susan_,,0.0
