,Ids,Dice_1,Dice_2,Dice_3,Hausdorff95_1,Hausdorff95_2,Hausdorff95_3,Sensitivity_1,Sensitivity_2,Sensitivity_3,Specificity_1,Specificity_2,Specificity_3,Surface_dice_1,Surface_dice_2,Surface_dice_3,Precision_1,Precision_2,Precision_3
0,TCGA-12-3650,0.09344396082698585,0.0,0.0,90.69825846371145,18.653560137623508,24.022882159285057,0.054000943247916995,0.0,0.0,0.9998020143473093,0.9999572617479823,0.9999951156663628,0.22584305411250824,0.1968399687395948,0.06244672322054848,0.346619576185671,0.0,0.0
0,TCGA-02-0116,0.3023555486830576,0.22802611752887997,0.18708381777824754,19.5,19.5,19.5,0.1809265313675899,0.12897727272727272,0.10617876424715057,0.9998349021907901,0.9999872127994762,0.9998459600301433,0.17277274371690493,0.07126379785255782,0.19588868348070673,0.919435736677116,0.9826839826839827,0.7859680284191829
0,TCGA-76-6656,0.1980904696592407,0.15860947347021753,0.1525729490822171,45.0,45.05163053722362,45.513669821549215,0.12220487965168816,0.09965258263935013,0.09680096142840793,0.9977437079373724,0.9979745150937038,0.9980194609772898,0.18169200288942575,0.16879441424783123,0.1794576950823966,0.5226250702641934,0.3883910792512943,0.35997020642689936
0,TCGA-02-0087,0.8403699314150265,0.7545617274116004,0.7961146092644116,21.37857078136401,7.993431460499561,3.6129090614913886,0.7300700481053254,0.6155363409096122,0.75085167111684,0.9999316974478845,0.9999354750091065,0.999954731490188,0.5282920863543092,0.4171174574698888,0.8151214798046031,0.9899297370288147,0.9747103616091425,0.8471847080822772
0,TCGA-06-0149,0.47579197715060484,0.6379818460450313,0.4962391325583667,26.839547837566116,7.630697154421737,7.5,0.3477822908204712,0.5162151850438764,0.40400827103547,0.9992292195415806,0.9999124594190775,0.9998462168192338,0.2956478731867614,0.4373586610474252,0.6057675781555188,0.752923796626862,0.8349274915149645,0.6430379746835443
0,TCGA-06-0119,0.34218760114796193,0.40512395974031634,0.29426142401700317,50.64621469073479,30.0,25.035131565462162,0.21593137254901962,0.2586945634633576,0.19446590350445958,0.9992906530346986,0.9998624764786999,0.9992483177375857,0.21101175806266026,0.23299575703150452,0.3280066241472969,0.8239634209705913,0.9335341365461848,0.6044531761624099
0,TCGA-76-6282,0.8159742960161037,0.6178083171432317,0.5226576350643353,13.208440128380035,14.773881620109185,16.351515841428892,0.711263973313923,0.4618074580922216,0.3868143661516296,0.9993524227861951,0.9997615327399891,0.9995944604743912,0.3859594088391308,0.37737617747701463,0.4773207728824469,0.9568372382576666,0.9329703460378886,0.805556831228473
0,TCGA-02-0054,0.3374459221278641,0.06062364031907179,0.06572972972972974,26.0,23.017083499272882,20.23557549527564,0.20585504129807927,0.03162354365259495,0.0347985347985348,0.9998042864627434,0.9999486912606558,0.999930137861287,0.29024487296303736,0.11036455567408174,0.11296722653782666,0.9353764157228515,0.7307692307692307,0.5914396887159533
0,TCGA-06-0190,0.636908716718793,0.5721332522467735,0.4607090344714916,20.43472840533977,17.52509361601244,16.04741509558471,0.49283994582936247,0.4414724438187601,0.3447011367803447,0.9990451113286051,0.9995787544641345,0.999464704809073,0.34045885544940485,0.3137146681370037,0.3990916883978817,0.9,0.8126499664075247,0.6944102437823196
0,TCGA-19-2624,0.6742359693793304,0.5911213879913634,0.20094824977302533,16.822603841260722,11.045361017187261,11.74734012447073,0.6020536351465323,0.5123841885900874,0.33557951482479786,0.9974890760832745,0.9993357641617624,0.9990539856321583,0.19032179810188765,0.2305152716889457,0.3640587372367226,0.7660845484769117,0.6984511833248896,0.14341252699784018
0,TCGA-14-1794,0.08846671114358633,0.0,0.0,50.91530892660709,inf,inf,0.05051213524723979,,,0.9976328282051916,0.99845458984375,0.9991416931152344,0.2238067413069632,0.0,0.0,0.3558527858238201,0.0,0.0
