,Ids,Dice_1,Dice_2,Dice_3,Hausdorff95_1,Hausdorff95_2,Hausdorff95_3,Sensitivity_1,Sensitivity_2,Sensitivity_3,Specificity_1,Specificity_2,Specificity_3,Surface_dice_1,Surface_dice_2,Surface_dice_3,Precision_1,Precision_2,Precision_3
0,TCGA-76-6191,0.9002546981482756,0.7123704215618522,0.7337713534822602,5.940197783494355,9.81433166125087,5.694288959809864,0.8377962844330558,0.9387978142076503,0.579734219269103,0.9998595457109635,0.9985374338194537,0.9999992356563266,0.8177201995722856,0.480637135280102,0.6638698283652094,0.9727759595358524,0.5739420935412026,0.9992841803865425
0,TCGA-06-5417,0.9045676086053862,0.8563203221724874,0.597452229299363,9.808496168142822,6.289612118426896,12.052810833248605,0.8781280119944311,0.8639535713697434,0.4880615135572643,0.9989116643320998,0.9985803524322577,0.9996193961135326,0.6384729879703884,0.510285055554425,0.633177932910595,0.9326487733211166,0.8488207750733644,0.7700446957949466
0,TCGA-12-1598,0.9390841201556884,0.7687422993081224,0.7382718106824431,4.4921875,18.638373776989805,6.5,0.9882412887547525,0.9551342439943477,0.5957504034427111,0.9968972154310008,0.9953835008639903,0.9998616241835827,0.862570392760741,0.4445081736335345,0.6495048599006601,0.8945855804711893,0.6432196669310072,0.9704271631982475
0,TCGA-02-0116,0.9195713544967449,0.7464023025263831,0.7418580219120516,2.8168369339562416,13.559187383468082,6.5,0.9845783727098883,0.9282954545454546,0.5930413917216557,0.9983670092178539,0.9968543486711541,0.9999693198400286,0.8021440861176242,0.41602994320148173,0.6518995726782422,0.8626168729395233,0.6241118496447399,0.9903826888399119
0,TCGA-12-0616,0.7029432896937173,0.691576756232819,0.5646044666511097,14.568165475189387,11.811094493102662,12.751378601939479,0.7146162995139105,0.8092484474359452,0.4563427785297446,0.9971255277952737,0.9966777829863313,0.999161252125775,0.23752634960485142,0.25351722250574016,0.32841494364226365,0.6916454999311821,0.6037816991287942,0.7402101929167867
0,TCGA-76-4935,0.8780849033764828,0.5358397837572183,0.0,55.96483270769242,69.15065075615702,inf,0.9836954787658339,0.998900595510765,,0.9973525475891903,0.9938332323342867,0.9960452473958333,0.6294193753746617,0.07254158561240837,0.0,0.7929526748971193,0.36611820013431834,0.0
0,TCGA-14-1825,0.7307983330886422,0.3273296789350039,0.12270847478550707,12.21875,18.683972284086167,30.9646976410234,0.5837723729792148,0.26134942641222203,0.06584089554216069,0.9996194583624025,0.9969973827453877,0.9999465631092109,0.5181553254649781,0.1991649248469158,0.17135858391534975,0.976813694411738,0.437875751503006,0.9003623188405797
0,TCGA-02-0054,0.9216920830241077,0.6534923339011925,0.770568746548868,3.90625,14.536759708150232,4.555431167847891,0.9408142319534725,0.8706309577848389,0.6389652014652014,0.9986145364716549,0.996503675904683,0.9999434449353276,0.8601968459644809,0.41113112005405117,0.7455999401893948,0.9033317691224777,0.5230433596945733,0.9704450625869263
0,TCGA-02-0034,0.8696648313070471,0.7227720550281649,0.5844413342663868,6.909642831760554,13.486466016900053,6.685163143110271,0.9069677817172808,0.9170795603394271,0.45480123434380104,0.9954626706876792,0.9929936571926407,0.999283540118552,0.6472121089139473,0.3381523468756275,0.653853750818546,0.8353091502804003,0.5964074074074074,0.8174551386623164
0,TCGA-02-0102,0.7488945776122876,0.12867647058823528,0.0,22.870751825475697,15.187017739256776,16.90102160373745,0.9640503295386459,0.8459214501510574,0.0,0.9986449377987886,0.9975175796633968,0.9999508964060151,0.6599575648623625,0.09966500467952638,0.015114865569088812,0.6122526636225266,0.06963441929868192,0.0
0,TCGA-19-1789,0.9075235318395442,0.5801219065383206,0.7301216089803555,9.219544457292887,25.96150997149434,3.0,0.9033861241799748,0.9671812527765438,0.6345528455284553,0.999472154891278,0.9980404943802197,0.9999391675835265,0.7809172587492959,0.19745984368032748,0.8546183851903697,0.911699011596025,0.4143156192016747,0.8595814977973568
0,TCGA-06-0187,0.9343473262673859,0.7710733047375777,0.7685409597673292,2.6516504294495533,15.0,3.762998305872592,0.9956116734869697,0.948651052475541,0.625649457415324,0.9988609066042978,0.9980552227540289,0.9999914438367817,0.8320865695641243,0.3792645670507128,0.6673702532449204,0.8801856479828633,0.649494580440872,0.9960213590199979
0,TCGA-02-0068,0.9501833512111159,0.6630058979052268,0.705045871559633,3.4375319480895996,21.484390654630946,4.2969149351119995,0.9152729719338716,0.9841014288589254,0.5518850987432675,0.9998425853671663,0.9967437876033625,0.9999747431612124,0.9007143203643991,0.3020401016875698,0.8544991574433249,0.987862440997977,0.4998977714168882,0.9758730158730159
0,TCGA-08-0356,0.9348746891359399,0.7815658728799041,0.5647167981105816,1.8114894812349864,20.81734412470164,10.114590038188647,0.9491998339713139,0.7781663113006396,0.395825943005794,0.9995630388249653,0.999383192476281,0.9999874222367455,0.6303269664310831,0.27716668745889067,0.25427860120176443,0.9209755006152813,0.7849952680030973,0.9849933794321024
0,TCGA-02-0047,0.9325965269953681,0.7077247402499623,0.8509658692823541,6.2986388658582415,27.531604708271182,3.125,0.9465621142815653,0.9667466575248543,0.7462476959536557,0.9968366023153261,0.9925231603832676,0.9999418423928847,0.8148013760008377,0.28606192767832805,0.8455421932681282,0.9190370448697613,0.558172677249515,0.9898707649318896
0,TCGA-76-6661,0.887451772919346,0.4637671439589551,0.0,5.702589872154581,14.793500473180782,inf,0.9100568973962847,0.902034959561701,,0.996341619726096,0.9853589647519958,0.993290901184082,0.6809834423689182,0.3582888281272376,0.0,0.8659424187013732,0.3121191604603927,0.0
0,TCGA-12-1601,0.904155506476826,0.3764195186233092,0.53583482231487,7.5,22.05741543600939,28.289571385200645,0.8663884969831597,0.8936326831063673,0.8340543881334982,0.9994279456767886,0.9947307559298104,0.9985949888047188,0.7629281317344275,0.27299658037132046,0.5723977001975786,0.9453652145430724,0.23842490302941033,0.3947060544018719
0,TCGA-06-0188,0.9008515001560341,0.3123818913811519,0.807920792079208,2.8125,21.236208760040007,2.6700011704117284,0.9929729729729729,0.916144578313253,0.7086848635235732,0.9990295525482079,0.9981602348972571,0.999979346417378,0.7801300746047439,0.13434956277180646,0.8151681741740242,0.8243717362924282,0.18829239302694137,0.9394736842105263
