,Ids,Sensitivity_0.0,Sensitivity_0.1,Sensitivity_0.2,Sensitivity_0.3,Sensitivity_0.4,Sensitivity_0.5,Sensitivity_0.6,Sensitivity_0.7,Sensitivity_0.8,Sensitivity_0.9,Sensitivity_1.0,Precision_0.0,Precision_0.1,Precision_0.2,Precision_0.3,Precision_0.4,Precision_0.5,Precision_0.6,Precision_0.7,Precision_0.8,Precision_0.9,Precision_1.0
0,Patient_98613,1.0,0.8213400020839846,0.7921694279462332,0.7745284984891112,0.7598311972491404,0.7466291549442534,0.7329790559549859,0.7172501823486506,0.6964832760237574,0.6537511722413254,0.0,0.021498655913978496,0.02714147023068907,0.02622048494679043,0.025659383306962776,0.025189584256656652,0.9706978067382852,0.9753879005532523,0.979488018669247,0.9849548719837907,0.9930594026496146,
0,832_19_4,1.0,0.981949802352717,0.9725675096442349,0.9645187407724913,0.9565890365290279,0.9489689003190932,0.9410153831499738,0.930275753679097,0.9160356241367814,0.888412630375768,0.0,0.004703629032258064,0.007228267300048643,0.007164358186334358,0.00710790774039641,0.007051696938003663,0.7497272077360123,0.7664571938399473,0.7830583896249674,0.8055282169406345,0.8395517350015752,
0,1733_18,1.0,0.9263275121461702,0.9006033311712947,0.8836782396925825,0.8689192662122306,0.8544662416017035,0.8394869849350777,0.82155838116334,0.7986856436552323,0.7501254390366282,0.0,0.009152441756272401,0.013592889955828899,0.01323416327919371,0.01299591375988804,0.012786868004339489,0.8432487922705314,0.8585464148487465,0.8750032585177654,0.8949576951030539,0.9263121306916927,
0,826_18_4,1.0,0.8607787226526029,0.8302505740745414,0.812531227131646,0.7976784677887405,0.7849907895732923,0.7718186176789724,0.7564763178480406,0.7369300259910672,0.6995079361073961,0.0,0.022193660394265232,0.028842592858778358,0.02787064132631115,0.027301732653329434,0.0268222530210587,0.9518162236255936,0.9569973217191059,0.9618017902403029,0.9674745574048553,0.9762495069589227,
0,778_19,1.0,0.8544736216730038,0.8192134030418251,0.7928053707224335,0.7734375,0.7543666825095057,0.7358899714828897,0.7154527091254753,0.6898764258555133,0.6476057509505704,0.0,0.003770609318996416,0.005017991676396494,0.004813887344074073,0.00466024428697075,0.004547451945849047,0.856954849159749,0.8682531894013739,0.8799137805056262,0.8939872199553468,0.913016165507999,
0,Patient_10014,1.0,0.9712437766714083,0.9509557254623044,0.93462393314367,0.9194612375533429,0.904347439544808,0.8877355974395448,0.8668118776671409,0.836073079658606,0.764900426742532,0.0,0.025197132616487455,0.03750748463932278,0.036854596216601185,0.03629509136824414,0.03576296321398802,0.8802402204905655,0.8947356630824372,0.9101508532168329,0.9284748138933318,0.9577326817539211,
0,Patient_33517,1.0,0.9558468078013003,0.9403858976496082,0.928363060510085,0.9188614769128188,0.9094640773462244,0.8983372228704785,0.8847099516586098,0.8666444407401234,0.8298258043007168,0.0,0.005375448028673835,0.008742506844704583,0.008606336434507955,0.008499440670645815,0.008414688552718602,0.8994930343747424,0.9120969789286621,0.9257789503521358,0.9423172776292537,0.9643557643412355,
0,Patient_102016,1.0,0.6519161660939591,0.5773417621908035,0.5331689531254099,0.4998032683681767,0.4696902132570889,0.4368491461847179,0.4040080791123469,0.3681504603520185,0.31524276683367,0.0,0.004270049283154122,0.004069834182054705,0.0036074781826242806,0.00333303707794676,0.0031255008158223106,0.7622493720999531,0.7684924553550828,0.774748490945674,0.7851309017677333,0.8023768193350247,
0,7_19_4,1.0,0.8677661510464059,0.8436533212010919,0.8280482256596906,0.8142402183803458,0.8012511373976342,0.7872611464968153,0.7722020018198362,0.7517515923566879,0.7133530482256597,0.0,0.004923835125448028,0.006087539478364556,0.005920845825082885,0.005812760479169092,0.005716991815185629,0.869574877795882,0.8802299259862146,0.8902234343858176,0.9022086325042998,0.9207798690430749,
0,Patient_98817,1.0,0.897931919189619,0.8680246393478087,0.8480915132400438,0.8314603330031387,0.8158500992481431,0.7991354215294462,0.7797564150735726,0.7520048883980249,0.6868654665801329,0.0,0.029511760752688174,0.04272172499067785,0.04146340579053282,0.040598910971858596,0.03986655221491259,0.9084266576511854,0.9196435980869603,0.9316195908965179,0.9463988039797288,0.9723671414525116,
