,Ids,Dice_1,Dice_2,Dice_3,Hausdorff95_1,Hausdorff95_2,Hausdorff95_3,Sensitivity_1,Sensitivity_2,Sensitivity_3,Specificity_1,Specificity_2,Specificity_3,Surface_dice_1,Surface_dice_2,Surface_dice_3,Precision_1,Precision_2,Precision_3
0,TCGA-76-6282,0.9260029011009916,0.6153419965749974,0.6446574102022337,4.58257569495584,9.643650760992955,11.180339887498949,0.9488087870533256,0.6549880041281883,0.4927611466805099,0.9979717181966485,0.9965652718331598,0.9998792257207408,0.7119111672265762,0.4840348851627602,0.6275056446973292,0.9042676215289872,0.5802215546822127,0.9319297480091633
0,TCGA-02-0054,0.9026817704751909,0.49756171898811336,0.7493564240580388,3.4641016151377544,7.14142842854285,3.1622776601683795,0.9276142069051013,0.44730112339026395,0.8941137049033844,0.9982607843617568,0.9974215120905866,0.9992644023657301,0.771675753507528,0.5839153876117377,0.7066194221997958,0.8790545223857802,0.5605470985464118,0.6449403802771512
0,TCGA-06-0190,0.9389898423817863,0.6770946770946771,0.8708215297450425,3.0,8.06225774829855,3.1622776601683795,0.9564286692848663,0.7093885594758588,0.8638714028776978,0.9985968903756602,0.9978097986327156,0.9996863910741443,0.8684006918741461,0.7456852959424133,0.9014708820929591,0.922175561805483,0.6476130355874694,0.8778843957048207
0,TCGA-19-2624,0.6997486655634495,0.426291992078024,0.19756483456008805,15.905973720586866,28.089143810376278,13.341664064126334,0.6633854900827469,0.757121240277151,0.24191374663072776,0.9968218110827215,0.994610227956525,0.9994303082076328,0.26297263879403054,0.16846241849531524,0.30000680706813915,0.7403294916771429,0.29666306066405923,0.1669573305429601
0,TCGA-14-1794,0.9316503929507025,0.1829511831849482,0.023317343887801417,4.123105625617661,5.0990195135927845,17.349351572897472,0.9050470564452731,0.4527752983569705,0.03215090758097046,0.998907732293276,0.9866184273230112,0.996326284625863,0.7317136978782255,0.6321245983156815,0.24608363243317216,0.9598650734663541,0.1146358203458493,0.018291654011001992
0,TCGA-06-0185,0.8724803392651046,0.5225408872093206,0.40555791861619167,7.0,9.055385138137417,7.810249675906654,0.956856203699161,0.5451511582253632,0.9650472334682861,0.9977524696125669,0.9969265408530275,0.9980867522564106,0.5948141869089011,0.468362172016837,0.4037186048630732,0.8017792102082597,0.5017314583396068,0.25672231197271583
0,TCGA-06-0177,0.9446092689548187,0.8190929447715775,0.7499369858619188,2.23606797749979,7.280109889280518,4.123105625617661,0.967872363676101,0.8867218254900064,0.7504356599101165,0.9991547091686711,0.9979262527492121,0.9994400315899562,0.8793376060780413,0.5495245351534652,0.8658170249274777,0.9224381976727672,0.761048937784522,0.7494389741241126
0,TCGA-06-5413,0.8850483960581338,0.6666275577247982,0.7563986750978621,4.898979485566356,8.06225774829855,2.449489742783178,0.9374457962683054,0.7748261284603846,0.7488926746166951,0.998641060371121,0.9981321582800808,0.9997490075861648,0.7449719407213565,0.5987446601865413,0.8891368142186841,0.8381983139657254,0.5849445096464677,0.7640566611627705
0,TCGA-02-0006,0.8064667809924213,0.4340200739566825,0.0,7.810249675906654,8.0,11.74734012447073,0.7502508813009804,0.45429914293613494,0.0,0.9992806741398494,0.9980676756523622,0.9999973330942008,0.5935671002810531,0.6224786354328731,0.026821460775475415,0.8717895051577216,0.4154740834386852,0.0
0,TCGA-06-0646,0.7780584864847013,0.48647301722910435,0.8481049848202918,6.164414002968976,7.810249675906654,3.0,0.8029445845545634,0.5752167690883071,0.9637213443133764,0.9992591881847721,0.9990942554649564,0.9998660685036446,0.6263600851253396,0.532846418218298,0.8708592448567303,0.7546686312822319,0.4214519212977241,0.7572577824414131
0,TCGA-06-0154,0.9298475627653954,0.584537162309606,0.7923009939044531,3.3166247903554,8.366600265340756,2.0,0.976310328532391,0.7888970696510087,0.951601269474899,0.9987437702634115,0.9967945144819812,0.9993536126080107,0.8063469091244164,0.5973922343249255,0.8461317360184242,0.8876062389091248,0.4642702393538659,0.6786871752662174
0,TCGA-08-0389,0.9081201819618098,0.5781963379519893,0.745023233064319,14.89966442575134,22.847319317591726,1.7320508075688772,0.8577677147120877,0.6221712485877641,0.914066250600096,0.9998050555591657,0.9987660620591307,0.9996421087079082,0.7433545297742394,0.4058704122613449,0.8989991761372063,0.9647528649149207,0.540027338642577,0.6287459753983323
0,TCGA-02-0047,0.9143446668464105,0.545492457706638,0.7562165593543121,9.1104335791443,7.0710678118654755,3.0,0.9323079020311719,0.5784763279176947,0.8735752598055648,0.9959265942667126,0.9921188026667226,0.9982557291199531,0.7051932450551036,0.6301640045498542,0.7570894937603788,0.8970605595561327,0.5160670715880185,0.6666560071631863
0,TCGA-06-0122,0.8333959015650688,0.5920215782133608,0.8264827915584609,93.34345183246653,8.602325267042627,4.47213595499958,0.9515356646664105,0.715211434496038,0.9668948177119709,0.9978193927929772,0.9981694216242655,0.9994843380354931,0.7111395260906699,0.6162750981459069,0.764920560963166,0.7413519115614924,0.5050333376912015,0.72168065474639
0,TCGA-12-1601,0.7623666682192929,0.31731843575418994,0.2144636224601267,95.09994742374992,93.72299611087985,134.73678042761748,0.7345832772317221,0.3920733987172481,0.9045337265020272,0.9978168311263721,0.9952591795508509,0.9977702232557988,0.47424680662465696,0.4029817232247625,0.21612040255380224,0.7923343176647142,0.26650505366464,0.1216537775133849
0,TCGA-19-2631,0.9428312139961131,0.6335324506106569,0.6490808577385848,2.8284271247461903,8.831760866327848,3.0,0.9612721995899566,0.807860619676121,0.791952574335994,0.9970279473251018,0.9894980235662663,0.9977256041650528,0.8296145594824486,0.6709148401862137,0.6965077483366161,0.9250844518848464,0.5210871107488415,0.5498800803785571
0,TCGA-02-0046,0.8001898695412507,0.4938404557989944,0.6687973230947427,9.0,10.63014581273465,4.242640687119285,0.8012646349915057,0.4922751077132868,0.6575007380540677,0.9943734303657613,0.994172717994924,0.9987751596350176,0.4170766395508292,0.5057024470073594,0.5644815321059868,0.7991179834728942,0.49541579070310676,0.680488869489306
0,TCGA-08-0522,0.9207788600692904,0.7685499788974672,0.7777658152893269,7.280109889280518,10.770329614269007,5.830951894845301,0.9030153875561503,0.7423613513201891,0.6733742734949008,0.9990115930166915,0.9981522911092341,0.9995749218299992,0.7882343163613907,0.4350255210920766,0.7080015713162733,0.939255216565765,0.7966539103997454,0.9204628921767025
